sID,conversation_id,message_id,user_query,dewey_match,response,routing,risk,risk_note,created_at,Accurate?,Notes,Expert review,Lang,coding_ID,primary_code,sec_codes,sent,bot_answer_rating,trust_flag,other_flags,original_coder_notes,risk_amt,risk_note_coders,mutiple_coders_flag,coding_stage,coding_time,sent_post,human_code,model_code
1,195567,1268969,How do I check my voter registration?,How do I check my voter registration?,"To check your voter registration in Pennsylvania, you can visit the ""https://www.pavoterservices.pa.gov/pages/voterregistrationstatus.aspx"" Department of State's website. There, you can look up your status by name or driver's license / PennDOT ID number. If you have questions or encounter problems, you can also call the Department of State's hotline at 1-877-VOTESPA.",exact,,,11/5/24 19:58,Yes,,,en,,,,,,[],,,1,,,,,,,EL_Voter Reg
2,195563,1268950,When do polls close,When do the polls close?,"In Pennsylvania, the polls close at 8 p.m. on Election Day. If you are in line before or at the time the polls close, you will still be allowed to cast your vote. It's essential to plan your visit to the polling place accordingly to ensure you have enough time to vote.",exact,,,11/5/24 19:54,Yes,,,es,,,,,,[],,,1,,,,,,,EL_Polling Loc/Time
3,195562,1268948,How do I check my voter registration?,How do I check my voter registration?,"To check your voter registration in Pennsylvania, you can visit the ""https://www.pavoterservices.pa.gov/pages/voterregistrationstatus.aspx"" Department of State's website. There, you can look up your status by name or driver's license / PennDOT ID number. If you have questions or encounter problems, you can also call the Department of State's hotline at 1-877-VOTESPA.",exact,,,11/5/24 19:53,Yes,,,en,,,,,,[],,,1,,,,,,,EL_Voter Reg
4,195555,1268897,How do I check my voter registration?,How do I check my voter registration?,"In the upcoming election for Pennsylvania attorney general, Democrat Eugene DePasquale and Republican Dave Sunday will face third-party candidates Robert Cowburn of the Libertarian Party, Justin L. Magill of the Constitution Party, Eric L. Settle of the Forward Party, and Richard L. Weiss of the Green Party. Take our ""https://www.spotlightpa.org/news/2024/10/pennsylvania-election-2024-attorney-general-candidates-quiz/"" PA attorney general candidate quiz to see which major party candidate for Pennsylvania attorney general most closely aligns with what matters to you.",exact,,,11/5/24 19:42,No,The question is about voter registration.,,en,,,,,,[],,,1,,,,,,,EL_Voter Reg
5,195555,1268896,Who is running for attorney general?,Who is running for attorney general?,"In the upcoming election for Pennsylvania attorney general, Democrat Eugene DePasquale and Republican Dave Sunday will face third-party candidates Robert Cowburn of the Libertarian Party, Justin L. Magill of the Constitution Party, Eric L. Settle of the Forward Party, and Richard L. Weiss of the Green Party. Take our ""https://www.spotlightpa.org/news/2024/10/pennsylvania-election-2024-attorney-general-candidates-quiz/"" PA attorney general candidate quiz to see which major party candidate for Pennsylvania attorney general most closely aligns with what matters to you.",exact,,,11/5/24 19:41,Yes,,,en,,,,,,[],,,1,,,,,,,G_State Basic
6,195551,1268844,How do I vote by mail?,How do I vote by mail?,"To vote by mail in Pennsylvania, you need to first apply for a mail-in ballot. The deadline to apply for a mail ballot for the Nov. 5 election was Oct. 29. If you already applied for and received your mail ballot, you have to complete it. Each mail ballot comes with instructions that voters must read carefully. The best way to ensure your vote counts is to follow the instructions on your mail ballot, especially when it comes to correctly dating your ballot. You must return your own ballot, unless you have officially ""https://www.pa.gov/content/dam/copapwp-pagov/en/vote/resources/documents-and-forms/Authorize-Designated-Agent-for-Mail-in-or-Absentee-Ballot.pdf"" designated another person to do so on your behalf. There are several methods for returning your ballot, but the most important thing to remember is that your county election board must receive your ballot by 8 p.m. on Election Day.  If youâ€™re returning your ballot in person, using a drop box, or another designated location, ""https://www.pa.gov/en/agencies/vote/voter-support/mail-in-and-absentee-ballot/return-ballot.html"" you must use a location in your county. If you deliver your ballot to another county, it wonâ€™t be counted. After you return your ballot, you can track its status ""https://www.pavoterservices.pa.gov/pages/ballottracking.aspx"" online.",exact,,,11/5/24 19:23,Yes,,,en,,,,,,[],,,1,,,,,,,EL_Mail-in
7,195547,1268789,Can I take my kids,Can I bring my kids to the polls and let them push the buttons?,"Pennsylvania law states: â€œNotwithstanding any other provision of this act, an elector may permit his or her minor child or children to accompany him or her into the polling place and may permit one such minor child to accompany him or her into the voting compartment or voting machine booth.â€",exact,,,11/5/24 19:06,Yes,,,no,,,,,,[],,,1,,,,,,,EL_Voting Req
8,195546,1268786,"I have a question/ problem with the ballot I got for my mother who is in LTC at age 95. I requested and received the application to vote for her/ by her- received it, filled it out, returned it and took it to her at the LTC facility- had her sign it in the presence of a witness and myself ( her daughter and poa, stamped it, took it to the front desk where I was directed to another office where there was an administrator who I  was told would ensure that the documents went to the correct place by the right time. 
in charge of processing the voting documents and mailing them. told helped with filling 
out and processing, sending the ballots. I asked if I needed to do anything more and was told no- that it would be mailed by the facility/ administration employee. I started early in this process, and had had my mother sign the ballot at least 10 days before the deadline. When I voted today, I asked if there was a record of my motherâ€™s ballot being received and was told no. I wondered if perhaps the nursing home was in a different precinct, but was unable to get an answer. I have spent the last several hours trying to reach someone/ anyone - in government or voting offices, etc, and cannot get any help or answers. I am very frustrated and disappointed, as this is very likely the last opportunity my mom will have to vote in a  presidential election. It was very important to her because she was a retired district judge and took a great deal of interest in staying involved. It was very important to her and me which is why I was so careful","If I have voted by mail and don't get notification that my vote has been counted, what should I do?","<p>I want to make sure I get this right and that I understand what you need. Do any of these questions strike a chord?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">If I have voted by mail and don't get notification that my vote has been counted, what should I do?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">What should I do if I don't receive my ballot in time?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">I requested a mail ballot but havenâ€™t gotten it. What should I do?</a></div>",suggestion,,,11/5/24 19:05,,,,en,,,,,,[],,,1,,,,,,,EL_Mail-in
9,195546,1268786,"I have a question/ problem with the ballot I got for my mother who is in LTC at age 95. I requested and received the application to vote for her/ by her- received it, filled it out, returned it and took it to her at the LTC facility- had her sign it in the presence of a witness and myself ( her daughter and poa, stamped it, took it to the front desk where I was directed to another office where there was an administrator who I  was told would ensure that the documents went to the correct place by the right time. 
in charge of processing the voting documents and mailing them. told helped with filling 
out and processing, sending the ballots. I asked if I needed to do anything more and was told no- that it would be mailed by the facility/ administration employee. I started early in this process, and had had my mother sign the ballot at least 10 days before the deadline. When I voted today, I asked if there was a record of my motherâ€™s ballot being received and was told no. I wondered if perhaps the nursing home was in a different precinct, but was unable to get an answer. I have spent the last several hours trying to reach someone/ anyone - in government or voting offices, etc, and cannot get any help or answers. I am very frustrated and disappointed, as this is very likely the last opportunity my mom will have to vote in a  presidential election. It was very important to her because she was a retired district judge and took a great deal of interest in staying involved. It was very important to her and me which is why I was so careful",I requested a mail ballot but havenâ€™t gotten it. What should I do?,"<p>I want to make sure I get this right and that I understand what you need. Do any of these questions strike a chord?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">If I have voted by mail and don't get notification that my vote has been counted, what should I do?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">What should I do if I don't receive my ballot in time?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">I requested a mail ballot but havenâ€™t gotten it. What should I do?</a></div>",suggestion,,,11/5/24 19:05,,,,en,,,,,,[],,,1,,,,,,,EL_Mail-in
10,195542,1268770,If I am an independent voter can I vote in the election today,Can a person who is registered as an independent voter vote in the elections?,"Yes, a person registered as an independent can still vote in elections, but in Pennsylvania there is an exception when it comes to primary elections. Pennsylvania has a closed primary system. That means only voters who are registered to a major party may participate in its primary election. Voters who are registered without a political affiliation or with a third party can still participate in statewide referenda, local ballot initiatives, and special elections that coincide with the primaries. ",exact,,,11/5/24 19:02,Yes,,,en,,,,,,[],,,1,,,,,,,EL_Voter Reg
