coding_ID,sID,conversation_id,message_id,user_query,dewey_match,response,created_at,primary_code,sec_codes,sent,bot_answer_rating,trust_flag,other_flags,coder_notes,risk_amt,risk_note,coder_name,mutiple_coders_flag,coding_stage,coding_time
1,"1,334","194,502","1,263,566",What are the statewide races in Pennsylvania?,What statewide races are happening in PA this year?,"Pennsylvanians statewide will vote in races for president, U.S. Senate, and row offices (attorney general, auditor general, and treasurer). In addition, all voters will see candidates for the U.S. House and Pennsylvania House. Depending on where they live, some voters will also see races for state Senate.",11/4/24 23:10,[G],[Elect Basic],,"[Exact, Accept]",,,,,,mifranz1057@gmail.com,True,1.0,12/05/2024
2,"3,210","178,457","1,139,666","I there a simple, one-stop voter's guide to help me navigate the 2024 election?",How can I see my sample ballot for the November 2024 election?,Let's make sure you get the resources you need. Do one of these questions resonate? How can I see my sample ballot for the November 2024 election? Who's on the ballot in 2024? What do I need to know about the election?,10/6/24 13:06,[M],[Oth],,"[Suggestion, Align]",,,"this one is really confusing because the question is so broad - are they asking about general campaign/ballot info?? if so than G primary code... but, are they asking about election logisitics? or both? ",,,mifranz1057@gmail.com,True,1.0,12/05/2024
3,"2,363","190,844","1,237,613",who is running for northampton county representative in the pa general assembly in the 183rd legislative district,Who is running for PA House?,"<p>I want to make sure I get this right and that I understand what you need. Do any of these questions strike a chord?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">Who is running for PA Senate?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">Who is running for PA House of Representatives?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">Who is running for Pa House of Representatives for district 28?</a></div>",10/29/24 23:30,[G],[Local Basic],,"[Suggestion, Align]",,[DISTRICT],,,,mifranz1057@gmail.com,True,1.0,18:56:51
4,"1,952","192,625","1,250,630",How can you tell that it is not the current date,How can I ensure my mail ballot is properly dated?,"<p>I'm checking to see if we're on the same page. Do any of these questions spark something?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">How can I ensure my mail ballot is properly dated?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">What date should be written on the mail ballot envelope?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">Will my mail ballot be thrown out if it doesn't have a date?</a></div>",11/2/24 12:05,[M],[Non-elect],,"[Suggestion, Not Align]",,,this one also seems confusing unless you look at all the convo id,,,mifranz1057@gmail.com,True,1.0,12/05/2024
5,401,"195,141","1,266,728",How do I check my voter registration?,How do I check my voter registration?,"To check your voter registration in Pennsylvania, you can visit the ""https://www.pavoterservices.pa.gov/pages/voterregistrationstatus.aspx"" Department of State's website. There, you can look up your status by name or driver's license / PennDOT ID number. If you have questions or encounter problems, you can also call the Department of State's hotline at 1-877-VOTESPA.",11/5/24 12:19,[EL],[Voter Reg],,"[Exact, Accept]",,,,,,mifranz1057@gmail.com,True,1.0,12/05/2024
6,171,"195,378","1,268,004",It was rejected didnâ€™t receive on time to send back to Pa from where I am now in South Carolina wasnâ€™t,What do I do if I am registered in PA but live somewhere else and my mail ballot was rejected?,"<p>Let's make sure you get the resources you need. Do one of these questions resonate?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">What do I do if I am registered in PA but live somewhere else and my mail ballot was rejected?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">I'm registered to vote in another state but live in Pennsylvania now. Can I vote in Pennsylvania?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">Can I vote absentee if I miss the mail ballot deadline?</a></div>",11/5/24 16:21,[EL],[Mail-in],,"[Suggestion, Align]",,,,,,mifranz1057@gmail.com,True,1.0,12/05/2024
7,"2,845","187,144","1,210,361",What are the statewide races in Pennsylvania?,What statewide races are happening in PA this year?,"Pennsylvanians statewide will vote in races for president, U.S. Senate, and row offices (attorney general, auditor general, and treasurer). In addition, all voters will see candidates for the U.S. House and Pennsylvania House. Depending on where they live, some voters will also see races for state Senate.",10/23/24 19:11,[G],[Elect Basic],,"[Exact, Accept]",,,,,,mifranz1057@gmail.com,True,1.0,12/05/2024
8,"1,955","192,625","1,250,622",How can you incorrectly date your ballot,What happens if I incorrectly dated my mail ballot?,"<p>I'm checking to see if we're on the same page. Do any of these questions spark something?</p><div class=""suggested-questions"">- <a href='#' data-action=""click->chat--suggested-input#insert"">What happens if I incorrectly dated my mail ballot?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">How can I ensure my mail ballot is properly dated?</a><br>- <a href='#' data-action=""click->chat--suggested-input#insert"">What if I get the wrong ballot on Election Day?</a></div>",11/2/24 12:03,[EL],[Mail-in],,"[Suggestion, Align]",,,,,,mifranz1057@gmail.com,True,1.0,12/05/2024
9,"2,296","191,244","1,240,567",How do I check my voter registration?,How do I check my voter registration?,"To check your voter registration in Pennsylvania, you can visit the ""https://www.pavoterservices.pa.gov/pages/voterregistrationstatus.aspx"" Department of State's website. There, you can look up your status by name or driver's license / PennDOT ID number. If you have questions or encounter problems, you can also call the Department of State's hotline at 1-877-VOTESPA.",10/30/24 16:34,[EL],[Voter Reg],,"[Exact, Accept]",,,,,,mifranz1057@gmail.com,True,1.0,12/05/2024
10,62,"195,497","1,268,483",Which presidential candidate is leading now,Whoâ€™s winning in the polls right now?,"Sites including ""https://projects.fivethirtyeight.com/polls/president-general/2024/national/"" 538, ""https://www.270towin.com/2024-presidential-election-polls/"" 270toWin, and the ""https://www.cookpolitical.com/survey-research/cpr-national-polling-average/2024/harris-trump-overall"" Cook Political Report have the latest information on political polling.",11/5/24 17:59,[EA],[Polling Fore],,"[Exact, Accept]",,,"Interesting that this didn't link to AP(who currently calls races, right?)",,,mifranz1057@gmail.com,True,1.0,12/05/2024
11,"3,323","173,459","1,095,169",What statewide races are happening in PA this year?,What statewide races are happening in PA this year?,"Pennsylvanians statewide will vote in races for president, U.S. Senate, and row offices (attorney general, auditor general, and treasurer). In addition, all voters will see candidates for the U.S. House and Pennsylvania House. Depending on where they live, some voters will also see races for state Senate.",9/26/24 15:55,[G],[Elect Basic],,"[Exact, Accept]",,,,,,mifranz1057@gmail.com,True,1.0,12/05/2024
